DateTime	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
2023-03-24 07:02:31.206582	808.8	765.9	769.0	805.8	1011.2	797.3	798.9	899.8	907.1	831.3	810.0	874.7	829.5	784.4	825.2	860.5	887.2	0.0	831.0	862.3	1305.1	1167.1	1192.5	1197.6	819.1	792.4	786.7	805.4	883.1	843.2	824.4	852.9
2023-03-24 07:22:41.931567	806.6	778.4	776.7	838.7	988.1	781.2	781.6	907.6	904.5	821.0	797.4	868.7	842.4	791.6	821.7	863.2	832.3	0.0	809.2	845.1	1316.9	1193.4	1213.0	1225.0	825.0	791.5	800.4	826.6	884.7	854.0	827.3	874.3
2023-03-24 07:42:52.930052	779.5	755.3	752.4	790.2	1003.5	790.2	787.6	972.6	890.0	809.7	802.2	877.4	852.5	793.9	833.2	879.0	871.0	0.0	822.0	869.0	1316.7	1195.9	1216.1	1263.8	812.3	803.5	790.2	819.8	909.6	857.3	830.8	876.2
2023-03-24 08:03:03.760386	802.2	770.2	772.5	813.2	1013.1	783.2	799.8	971.1	896.3	831.3	813.3	886.6	874.9	813.9	857.2	892.1	866.7	0.0	834.4	879.6	1291.0	1159.4	1191.7	1193.4	826.0	796.5	799.8	830.0	903.1	852.5	827.7	875.0
2023-03-24 08:23:14.445674	795.8	780.9	760.8	799.3	994.4	812.3	807.0	937.9	889.6	819.3	805.6	873.7	856.2	810.1	842.9	874.9	861.1	0.0	821.2	857.9	1322.0	1161.2	1200.7	1187.4	798.9	771.1	779.4	804.5	863.5	836.5	814.3	860.1
2023-03-24 08:43:25.126774	811.2	776.7	783.4	828.0	985.1	781.0	779.9	897.2	880.5	815.9	802.7	875.8	849.8	790.0	824.5	845.8	876.1	0.0	834.4	870.8	1294.8	1152.0	1181.3	1199.5	828.8	795.3	794.7	815.8	906.2	873.9	843.4	882.5
2023-03-24 09:03:35.671420	814.5	786.9	797.0	838.4	1013.6	791.1	788.9	870.4	904.7	827.5	819.2	894.8	860.1	790.7	819.5	853.9	880.8	0.0	846.4	863.7	1301.7	1178.6	1218.2	1223.1	830.6	779.3	776.0	792.7	868.4	855.1	823.4	860.6
2023-03-24 09:23:45.777195	768.1	735.3	742.1	781.8	964.6	782.8	777.9	954.2	849.9	787.2	775.3	872.4	821.5	770.9	790.7	825.3	836.3	0.0	806.2	844.3	1230.7	1092.1	1119.1	1152.4	821.4	799.9	798.9	805.7	859.5	832.4	809.6	848.1
2023-03-24 09:43:57.121178	786.4	768.2	766.5	802.0	1017.8	776.8	780.1	870.1	876.6	807.5	787.7	870.2	811.3	769.3	794.3	828.8	839.3	0.0	795.0	821.5	1283.0	1151.4	1161.7	1154.4	805.7	774.4	785.1	799.1	854.4	817.8	786.3	835.3
2023-03-24 10:04:08.435213	792.5	770.6	763.6	784.5	976.7	795.6	796.2	946.2	868.2	793.0	778.8	878.6	848.6	790.8	820.6	863.9	834.1	0.0	805.9	830.3	1257.8	1130.4	1147.5	1175.7	802.2	770.9	771.9	781.4	853.3	829.9	804.0	849.1
2023-03-24 10:24:18.918929	754.3	727.7	737.6	763.9	916.7	756.3	751.7	900.8	869.6	804.6	790.1	854.3	802.9	765.9	792.5	822.2	836.5	0.0	800.1	841.3	1156.6	1034.6	1084.2	1096.9	797.5	774.0	767.4	794.1	853.3	829.1	806.2	840.3
2023-03-24 10:44:29.281958	759.7	737.9	734.0	779.6	914.1	746.2	753.9	854.7	857.6	786.6	782.7	848.4	814.0	778.3	801.9	842.6	836.4	0.0	802.6	837.4	1291.1	1148.8	1179.0	1203.8	784.8	763.1	757.9	785.3	844.1	809.9	783.7	823.9
2023-03-24 11:04:39.686419	748.8	717.8	726.3	772.2	921.7	748.6	737.1	849.5	828.8	766.8	745.3	807.3	817.4	772.9	801.3	831.6	825.6	0.0	777.5	807.1	1269.2	1095.8	1088.6	1147.0	774.5	740.6	746.4	762.9	859.1	820.1	788.8	835.5
2023-03-24 11:24:50.949517	761.9	746.5	738.4	775.5	933.2	761.5	749.1	870.4	847.3	765.6	758.1	829.8	792.3	748.1	781.0	789.6	793.7	0.0	787.8	812.8	1209.5	1097.2	1131.3	1151.4	770.5	743.3	748.3	763.6	832.1	820.1	799.8	851.7
2023-03-24 11:45:02.562283	778.3	747.9	746.8	780.5	961.2	767.5	755.5	902.8	852.6	773.5	758.4	816.8	833.7	786.2	822.6	845.6	847.3	0.0	797.5	823.2	1232.5	1130.5	1092.2	1139.8	792.5	760.9	761.6	802.6	854.3	824.6	803.4	855.1
2023-03-24 12:05:13.470451	767.4	734.0	749.9	791.8	942.9	742.1	747.0	856.8	837.6	769.3	754.3	824.5	807.4	764.1	801.8	831.3	837.9	0.0	793.6	831.2	1211.1	1076.0	1139.0	1124.3	774.4	770.2	760.6	794.5	844.0	800.1	785.8	820.3
2023-03-24 12:25:25.359825	766.5	745.0	749.8	779.5	967.8	759.6	767.7	898.4	849.5	779.6	769.9	833.9	820.0	776.9	804.4	844.7	818.9	0.0	786.3	818.3	1221.0	1097.0	1109.4	1097.9	816.4	788.0	778.6	840.9	836.8	799.6	771.9	827.5
2023-03-24 12:45:36.705170	740.7	727.0	733.3	758.8	1073.0	735.9	741.4	865.9	824.6	759.6	745.9	807.7	794.8	753.5	788.3	814.1	816.8	0.0	778.3	802.9	1194.2	1096.9	1118.2	1136.5	789.8	760.3	752.1	767.5	874.4	831.2	816.1	864.7
2023-03-24 13:05:47.783803	760.7	731.3	727.1	755.6	986.9	743.8	739.9	870.6	834.1	770.8	750.8	832.4	815.3	760.3	794.2	831.6	820.8	0.0	784.6	823.1	1175.4	1059.0	1082.0	1054.4	797.2	770.0	771.5	790.9	851.8	829.8	809.4	848.2
2023-03-24 13:25:58.405537	757.3	726.6	726.3	752.5	961.2	745.3	741.9	865.2	818.6	759.6	750.8	812.7	807.2	753.0	781.2	802.9	804.1	0.0	777.7	816.3	1181.1	1059.3	1081.9	1073.0	782.1	760.6	758.4	788.3	856.4	817.6	791.9	833.2
2023-03-24 13:46:08.661979	750.0	717.2	713.7	759.0	982.0	742.7	744.3	862.0	828.5	767.2	757.2	829.4	827.5	768.0	799.2	827.9	810.0	0.0	780.7	816.8	1227.4	1085.4	1120.5	1122.3	785.8	757.0	754.0	758.8	836.8	804.3	788.1	831.8
2023-03-24 14:06:19.126784	754.8	734.1	731.9	763.3	1019.6	747.5	750.1	872.3	839.4	778.3	773.3	839.9	824.8	755.7	790.3	822.8	822.6	0.0	770.8	816.1	1217.5	1087.9	1137.8	1145.3	776.0	748.0	748.8	780.7	845.3	820.9	799.7	833.5
2023-03-24 14:26:30.850086	728.8	715.2	721.3	745.9	991.0	740.4	743.3	880.3	834.4	768.7	756.0	812.2	801.6	747.0	781.3	811.0	839.6	0.0	795.3	825.2	1276.6	1114.6	1154.8	1151.1	782.3	757.8	751.1	777.7	864.8	826.7	798.9	854.3
2023-03-24 14:46:42.134584	757.5	730.6	728.9	771.6	991.1	777.9	760.4	911.6	837.4	772.1	762.9	821.6	825.2	774.9	800.4	837.5	796.4	0.0	767.8	790.6	1155.9	1060.8	1100.0	1079.6	767.9	741.4	746.8	761.6	832.2	796.1	778.8	826.8
2023-03-24 15:06:52.707363	760.8	722.2	724.2	763.5	947.5	722.0	735.4	853.2	843.8	761.8	757.5	819.4	802.2	746.2	783.6	812.2	797.3	0.0	762.1	795.2	1201.5	1082.8	1122.2	1099.3	763.0	737.9	741.8	771.2	821.8	787.3	772.4	809.2
2023-03-24 15:27:03.864050	742.7	715.1	723.4	761.3	824.0	763.0	749.8	822.3	839.5	794.6	834.7	839.3	799.5	749.6	771.3	797.6	800.5	0.0	764.4	800.1	1196.4	1070.7	1097.6	1104.5	773.4	756.4	755.1	767.8	854.2	820.8	789.8	848.8
